"Ward_No","Ward Name","Area (sq km)","Road length (kms)"
"186","Jaraganahalli","1.3","37"
"187","Puttenahalli","2.9","65"
"188","Bilekhalli","4.3","72"
"189","Honga Sandra","2.1","61"
"190","Mangammana Palya","3.5","83"
"191","Singa Sandra","9.7","179"
"192","Begur","19","280"
"193","Arakere","6.6","155"
"194","Gottigere","7.4","176"
"195","Konankunte","3.4","94"
"196","Anjanapura","11.4","234"
"197","Vasanthpura","5.7","143"
"198","Hemmigepura","30.5","453"
"Total","","709.49","13,483"
